0.000572205,0,-0,-0.0558105,0.0446484,-9.78917,
-0,0,-0,-0.0781348,0.0334863,-9.77801,
-0,0,-0,-0.0669727,0.0446484,-9.78917,
0.000572205,-0.000572205,-0,-0.0669727,0.0334863,-9.78917,
-0,0.000572205,-0.000572205,-0.0781348,0.0223242,-9.80033,
-0.000572205,0,-0,-0.0669727,0.0334863,-9.76685,
-0,0,0.000572205,-0.0781348,0.0223242,-9.76685,
-0,0,-0.000572205,-0.0781348,0.0223242,-9.78917,
-0,-0.000572205,-0,-0.0892969,0.0334863,-9.78917,
-0,0,-0,-0.0892969,0.0334863,-9.76685,
-0,0,-0,-0.0781348,0.0334863,-9.77801,
-0,-0.000572205,0.000572205,-0.0781348,0.0446484,-9.78917,
-0,-0.000572205,-0.000572205,-0.0781348,0.0334863,-9.78917,
0.000572205,0,-0,-0.0781348,0.0223242,-9.76685,
-0.000572205,-0.000572205,0.000572205,-0.0781348,0.0223242,-9.78917,
-0,0,-0,-0.0669727,0.0334863,-9.78917,
0.000572205,0,-0,-0.0781348,0.0223242,-9.77801,
-0,0,-0.000572205,-0.0669727,0.0223242,-9.75568,
-0,0,0.000572205,-0.0781348,0.0334863,-9.77801,
-0,0.000572205,-0,-0.0781348,0.0223242,-9.77801,
-0,-0.000572205,-0,-0.0892969,0.0334863,-9.77801,
-0,0,-0,-0.0781348,0.0223242,-9.77801,
-0,0,-0,-0.0781348,0.0334863,-9.76685,
-0,-0.000572205,-0,-0.0781348,0.0334863,-9.78917,
-0,0,-0,-0.0781348,0.0223242,-9.80033,
-0,0,-0,-0.0781348,0.0334863,-9.77801,
-0,-0.000572205,-0.000572205,-0.0781348,0.0111621,-9.77801,
-0,0,-0,-0.0781348,0.0223242,-9.78917,
-0,0,-0,-0.0669727,0.0223242,-9.76685,
-0,-0.000572205,-0,-0.0669727,0.0223242,-9.77801,
-0,0,-0.000572205,-0.0781348,0.0223242,-9.78917,
-0.000572205,0,0.000572205,-0.0669727,0.0223242,-9.77801,
-0,0,-0,-0.0781348,0.0334863,-9.78917,
-0,0,-0,-0.0669727,0.0223242,-9.80033,
0.000572205,0,-0.000572205,-0.0892969,0.0334863,-9.77801,
-0,0,-0,-0.0781348,0.0223242,-9.78917,
-0,0,-0,-0.0781348,0.0223242,-9.77801,
-0,0.000572205,-0.000572205,-0.0669727,0.0223242,-9.76685,
-0,0,-0.000572205,-0.0781348,0.0223242,-9.76685,
-0,-0.000572205,-0,-0.0781348,0.0334863,-9.77801,
-0.000572205,0,-0,-0.0781348,0.0334863,-9.75568,
-0,0,-0,-0.0892969,0.0223242,-9.76685,
0.000572205,0,-0.000572205,-0.0781348,0.0334863,-9.76685,
-0,0,-0,-0.0669727,0.0223242,-9.76685,
-0,0,-0,-0.0781348,0.0334863,-9.78917,
